content	answer	dummy1	dummy2	explanation	is_opened
할말하않의 뜻은 무엇일까요?	할 말은 많지만 하지 않겠다	할 말이 많아서 하지 않을 수가 없다	할 수 있는 게 없어서 말하지 않는다.	할말하않은 할 말은 많지만 하지 않겠다의 줄임말로 "할말하않할게"처럼 사용합니다.	FALSE
별다줄의 뜻은 무엇일까요?	별걸 다 줄인다	별도 달도 다 따줄게	별 수 없지 다 즐기자	별다줄은 별걸 다 줄인다의 줄임말로 "요즘은 전부 별다줄이야"처럼 사용합니다.	FALSE
스세권의 뜻은 무엇일까요?	스타벅스가 가까이 있는 지역	스트레스 세계 최고 권력자	스테이크 맛집이 가까이 있는 지역	스세권은 스타벅스가 가까이 있는 지역을 의미하는 신조어로 "스세권이 최고다"처럼 사용합니다.	FALSE
숲세권의 뜻은 무엇일까요?	주변에 숲과 같은 자연 녹지가 있는 곳	숲에서 세상 권리 다 누리자	숲이 사라진 지역	숲세권은 주변에 숲과 같은 자연 녹지가 있는 곳을 의미하는 신조어로 "숲세권 아파트가 최고이다"처럼 사용합니다.	FALSE
복세편살의 뜻은 무엇일까요?	복잡한 세상 편하게 살자	복 많은 세상에서 편승하는 사람들	복잡한 세상에서 어떻게 편하게 살아?	복세편살은 복잡한 세상 편하게 살자의 줄임말로 "우리 모두 복세편살합시다"처럼 사용합니다.	FALSE
뷰알못의 뜻은 무엇일까요?	뷰티를 잘 알지 못하는 사람들	풍경 좋은 곳을 잘 알지 못하는 사람들	부자들을 알지 못하는 고민	뷰알못은 뷰티를 잘 알지 못하는 사람들의 줄임말로 "뷰알못 탈출하고 싶다"처럼 사용합니다.	FALSE
워라밸의 뜻은 무엇일까요?	일과 삶의 균형을 중요하게 여기는 것	워스트 라이프 밸런스	워크 앤 라이프 밸런스'의 줄임말	워라밸은 워크 앤 라이프 밸런스의 줄임말로 "워라밸을 지키는 것이 중요하다"처럼 사용합니다.	FALSE
이생망의 뜻은 무엇일까요?	이번 생은 망했다	이상하게 생활패턴 다 망했다	이미 생각 다 마쳤어	이생망은 이번 생은 망했다의 줄임말로 "왠지 이생망인 거 같아"처럼 사용합니다.	FALSE
일생가의 뜻은 무엇일까요?	일상생활 가능하니?	일이 많을 땐 생각을 가감해라	일찍이 혼자 개업한 가게	일생가는 일상생활 가능하니?의 줄임말로 "너 진짜 일생가?"처럼 사용합니다.	FALSE
사바사의 뜻은 무엇일까요?	사람 바이 사람	사랑하기도 바쁜 사람들	사실 바나나 사탕	사바사는 사람바이사람의 줄임말로 "어느 정도 사바사이긴 해"처럼 사용합니다.	FALSE
얼죽아의 뜻은 무엇일까요?	얼어 죽어도 아이스 아메리카노	얼어 죽기 전에 아사하겠다	얼큰하게 죽 한 그릇 어때?	얼죽아는 얼어 죽어도 아이스 아메리카노의 줄임말로 "너도 얼죽아야?"처럼 사용합니다.	FALSE
쪄죽따의 뜻은 무엇일까요?	쪄 죽어도 따뜻한 물로 샤워하기	너무 더워서 죽을 거 같다	따뜻하게 쑨 죽	쪄죽따는 쪄 죽어도 따뜻한 물로 샤워하기의 줄임말로 "난 쪄죽따는 힘들던데.."처럼 사용합니다.	FALSE
내또출의 뜻은 무엇일까요?	내일 또 출근	내 자식 또 출세했다	내년에 또 출장 간다	내또출은 내일 또 출근의 줄임말로 "내또출이라니.. 힘들다"처럼 사용합니다.	FALSE
임구의 뜻은 무엇일까요?	이미 구독을 했다	인자 왔구만~	임시 구급차	임구는 이미 구독을 했다의 줄임말로 "임구 가능해요"처럼 사용합니다.	FALSE
손놈의 뜻은 무엇일까요?	손님이지만 매너 없는 사람	손자 손녀 	손님과 노모	손놈은 손님이지만 매너 없는 사람의 줄임말로 "완전 손놈이다"처럼 사용합니다.	FALSE
영고의 뜻은 무엇일까요?	영원히 고통받는다	영원한 고통은 없다	영리한 고양이	영고는 영원히 고통받는다의 줄임말로 "과거 사진 때문에 영고야"처럼 사용합니다.	FALSE
롬곡의 뜻은 무엇일까요?	눈물	방에서 부르는 곡	룸 고깃집	롬곡은 거꾸로 보았을 때 눈물을 나타내는 신조어로 "롬곡이 난다"처럼 사용합니다.	FALSE
무물의 뜻은 무엇일까요?	무엇이든 물어보세요	무관심해도 물어보기라도 하자	무지한 물고기	무물은 무엇이든 물어보세요의 줄임말로 "무물 받아요"처럼 사용합니다.	FALSE
머글의 뜻은 무엇일까요?	아이돌에 관심이 없는 일반인	머리 글자	머지않아 글을 쓸 수 있게 되다	머글은 아이돌에 관심이 없는 일반인을 의미하는 신조어로 "머글은 이해 못해"처럼 사용합니다.	FALSE
꾸꾸꾸의 뜻은 무엇일까요?	꾸며도 꾸질 꾸질	꾸역꾸역 꾸짖음을 듣다	꾸준히 꾸벅거리는 꾸러기	꾸꾸꾸는 꾸며도 꾸질 꾸질의 줄임말로 "오늘 패션은 꾸꾸꾸"처럼 사용합니다.	FALSE
남아공의 뜻은 무엇일까요?	남아서 공부나 해라	남이 아플 때 	남동생이 아침에 공부한다	남아공은 남아서 공부나 해라의 줄임말로 "오늘은 남아공"처럼 사용합니다.	FALSE
ㅂㅂㅂㄱ의 뜻은 무엇일까요?	반박 불가	봄봄봄가을	바바반가워	ㅂㅂㅂㄱ는 '반박 불가'의 초성으로 "이건 솔직히 ㅂㅂㅂㄱ"처럼 사용합니다.	FALSE
제곧내의 뜻은 무엇일까요?	제목이 곧 내용	제주도 여행이 곧 내일이다	제사가 곧 내일이다	제곧내는 제목이 곧 내용의 줄임말로 "제곧내입니다"처럼 사용합니다.	FALSE
성덕의 뜻은 무엇일까요?	성공한 덕후	성숙하고 덕망있는 사람	서울에 있는 덕수궁	성덕은 성공한 덕후의 줄임말로 "나 완전 성덕이다"처럼 사용합니다.	FALSE
발컨의 뜻은 무엇일까요?	발로 컨트롤하다	발로 만든 거 같을 정도로 볼품 없는 컨텐츠	발표할 땐 아이컨택하라	발컨은 발로 컨트롤하다의 줄임말로 "발컨이지만 열심히 해볼게"처럼 사용합니다.	FALSE
배사의 뜻은 무엇일까요?	배경 사진	배우 사진	사진 배치	배사는 배경 사진의 줄임말로 "배사 바꾼 거 이쁘다"처럼 사용합니다.	FALSE
물멍의 뜻은 무엇일까요?	물을 보면서 멍하게 있는 상태	물 속에서 생기는 기포	물에 잠긴 듯 멍때리다	물멍은 물을 보면서 멍하게 있는 상태의 줄임말로 "물멍하기 좋은 장소"처럼 사용합니다.	FALSE
불멍의 뜻은 무엇일까요?	불을 보면서 멍하게 있는 상태	불에 그을린 멍자국	불가피하게 생긴 멍자국	불멍은 불을 보면서 멍하게 있는 상태의 줄임말로 "불멍하면서 힐링하기"처럼 사용합니다.	FALSE
벼락거지의 뜻은 무엇일까요?	가만히 있었는데 날벼락을 맞아 거지가 된 것	벼르고 벼르다가 끝내 폭락하여 거지가 된 사람	벼가 자랄 수 없을 정도로 거친 토지	벼락거지는 가만히 있었는데 날벼락을 맞아 거지가 된 것의 줄임말로 "벼락거지 됐다"처럼 사용합니다.	FALSE
최애의 뜻은 무엇일까요?	가장 애정하는	최씨 애기	최신 애니	최애는 가장 애정하는을 뜻하는 신조어로 "너의 최애 캐릭터는 누구야?"처럼 사용합니다.	FALSE
혼영의 뜻은 무엇일까요?	혼자서 영화보기	혼자 만든 영상물	혼자 수영하기	혼영은 혼자서 영화보기의 줄임말로 "혼영 가능?"처럼 사용합니다.	FALSE
브금의 뜻은 무엇일까요?	BGM	부러움 금지	브러쉬 사용을 금지합니다	BGM을 한글로 읽히는 대로 표현한 신조어로 "브금 틀어주세요"처럼 사용합니다.	FALSE
네카라쿠배당토의 뜻은 무엇일까요?	네이버, 카카오, 라인, 쿠팡, 배달의 민족, 당근마켓, 토스	일본을 좋아하는 신세대	일본을 싫어하는 구세대	네카라쿠배당토는 네이버, 카카오, 라인, 쿠팡, 배달의 민족, 당근마켓, 토스의 줄임말로 "네카라쿠배당토에 취업하고 싶다"처럼 사용합니다.	FALSE
알잘딱깔센의 뜻은 무엇일까요?	알아서 잘 딱 깔끔하고 센스 있게	알아서 잘 딱 깔창을 센스 있게	쫑알쫑알 잘 떠드는 딱따구리 	알잘딱깔센은 알아서 잘 딱 깔끔하고 센스있게의 줄임말로 "알잘딱깔센하게 알려줄게"처럼 사용합니다.	FALSE
저메추의 뜻은 무엇일까요?	저녁 매뉴 추천	저녁에 메시지 추천	저녁 먹고 메가커피 추천해	저메추는 저녁 메뉴 추천의 줄임말로 "오늘 저메추 해줘"처럼 사용합니다.	FALSE
점메추의 뜻은 무엇일까요?	점심 메뉴 추천	점점 매서워지는 추세	점점 메리트가 추락하다	점메추는 점심 메뉴 추천의 줄임말로 "점메추 받습니다"처럼 사용합니다.	FALSE
억까의 뜻은 무엇일까요?	억지로 까내리다	억수로 까칠한 사람	억울한 까치	억까는 억지로 까내리다의 줄임말로 "억까하지마"처럼 사용합니다.	FALSE
구취의 뜻은 무엇일까요?	구독 취소	구수한 취두부	굳이 취해야만 하나?	구취는 구독 취소의 줄임말로 "구취하지 마세요"처럼 사용합니다.	FALSE
졌잘싸의 뜻은 무엇일까요?	졌지만 잘 싸웠다	졌어? 잘 좀 싸우지 그랬어~	잘 잤어?	졌잘싸는 졌지만 잘 싸웠다의 줄임말로 "이번 경기는 졌잘싸였어"처럼 사용합니다.	FALSE
난죽택의 뜻은 무엇일까요?	난 죽음을 택하겠다	난 죽어도 택시는 안 타	난 죽지 않으려면 무엇을 택해야 할까?	난죽택은 난 죽음을 택하겠다의 줄임말로 "수능 다시 볼 바에는 난죽택"처럼 사용합니다.	FALSE
웃안웃의 뜻은 무엇일까요?	웃긴데 안 웃김	웃돈 안 얹어주면 웃기지도 않다	웃고 싶지 않지만 웃자	웃안웃은 웃긴데 안 웃김의 줄임말로 "진짜 웃안웃이다"	FALSE
캘박의 뜻은 무엇일까요?	캘린더 박제	캘리포니아 박수	캘리포니아 박자에 맞춘 노래	캘박은 캘린더 박제의 줄임말로 "다들 일정 캘박하세요"처럼 사용합니다.	FALSE
국룰의 뜻은 무엇일까요?	국민 룰	국수 먹는 방법	국밥 먹는 방법	국룰은 국민 룰의 줄임말로 "이건 국룰이지"처럼 사용합니다.	FALSE
고답이의 뜻은 무엇일까요?	고구마 답답이	고생만 하는 답답한 사람	고집 센 답답한 사람	고답이는 고구마 답답이의 줄임말로 "고답이 대처법"처럼 사용합니다.	FALSE
나심비의 뜻은 무엇일까요?	나에게 심리적 만족감을 주기 위한 비용	나이가 들수록 심장이 비교적 약해진다	나이스 심 봤다!	나심비는 나에게 심리적 만족감을 주기 위한 비용의 줄임말로 "나심비족을 공략한 전략"처럼 사용합니다.	FALSE
할매니얼의 뜻은 무엇일까요?	할머니 밀레니얼 세대	할머니가 싫어하는 얼그레이	하나님을 찬양하는 사람	할매니얼은 할머니 밀레니얼 세대의 줄임말로 "할매니얼을 위한 디저트"처럼 사용합니다.	FALSE
700의 뜻은 무엇일까요?	귀여워	예쁘다	똑똑하다	귀여워'의 초성 'ㄱㅇㅇ'을 숫자로 표현한 신조어로 "완전 ㄱㅇㅇ"처럼 사용합니다.	FALSE
보배의 뜻은 무엇일까요?	보조 배터리	보면 볼수록 배신감 느껴	보편적인 배드민턴 실력	보배는 보조배터리의 줄임말로 "너 보배 있어?"처럼 사용합니다.	FALSE
당모치의 뜻은 무엇일까요?	당연히 모든 치킨은 옳아	당당함 속 모멸감과 치부	당장 모가지 비틀기 전에	당모치는 당연히 모든 치킨은 옳아의 줄임말로 "당모치지!"처럼 사용합니다.	FALSE
설참의 뜻은 무엇일까요?	설명을 참조하세요	설날에는 참치세트	설마 참으라는 거야?	설참은 설명을 참조하세요의 줄임말로 "설참 부탁드려요"처럼 사용합니다.	FALSE
쩝쩝박사의 뜻은 무엇일까요?	쩝쩝+척척박사	쩝쩝 거리면서 먹는 수박	추임새 소리 내는 데 능숙한 사람	음식에 대해 잘 아는 사람을 일컫는 신조어로 "너 완전 쩝쩝박사구나?"처럼 사용합니다.	FALSE
핑프의 뜻은 무엇일까요?	핑거 프린스, 핑거 프린세스	핑크색 프라이팬	핑그르르 프르르르	핑프는 손가락이 공주님/왕자님이라서 검색도 제대로 안 해보고 질문하는 사람을 의미하는 신조어로 "핑프세요? 검색 먼저 하세요"처럼 사용합니다.	FALSE
레게노의 뜻은 무엇일까요?	레전드	레스토랑 게스트가 부르는 노래	레게 노래	레게노는 레전드를 의미하는 신조어로 "와~ 레게노다"처럼 사용합니다.	FALSE
일취월장의 뜻은 무엇일까요?	일요일에 취하면 월요일에 장난 아니다	일요일에 취하고 월요일에 장보러 간다	일요일에 취하고, 월요일에 출근. 장난하냐?	일취월장은 일요일에 취하면 월요일에 장난 아니다의 줄임말로 "오늘 술마시면 일취월장이야~"처럼 사용합니다.	FALSE
주불의 뜻은 무엇일까요?	주소 불러	주말에 불났다	주차 불가능	주불은 주소 불러의 줄임말로 "지금당장 주불!"처럼 사용합니다.	FALSE
꾸안꾸의 뜻은 무엇일까요?	꾸민 듯 안 꾸민 듯	꾸준히 안 꾸민다	꾸질꾸질하고 안 꾸민 사람	꾸안꾸는 꾸민듯 안 꾸민듯의 줄임말로 "오늘 완전 꾸안꾸다!"처럼 사용합니다.	FALSE
댕댕이의 뜻은 무엇일까요?	멍멍이	댕기머리를 한 아이	어리숙한 아이	댕댕이는 멍멍이를 의미하는 신조어로 "완전 댕댕이 같아"처럼 사용합니다.	FALSE
마상의 뜻은 무엇일까요?	마음의 상처	마트가 입점해있는 상권	마지막 상자	마상은 마음의 상처의 줄임말로 "나 마상 입었어"처럼 사용합니다.	FALSE
맥세권의 뜻은 무엇일까요?	집 근처에 맥도날드가 위치해 있는 지역권	맥아리 없이 금세 권태로워졌다	맥심커피 파는 상점	맥세권은 집 근처에 맥도날드가 위치해 있는 지역권의 줄임말로 "너희 집 맥세권이야?"처럼 사용합니다.	FALSE
애빼시의 뜻은 무엇일까요?	애교 빼면 시체	애매해서 따로 빼놓은 시간	애지중지 키운 날 빼닮은 딸이 시집간다	애빼시는 애교 빼면 시체의 줄임말로 "내 친구는 애빼시다"처럼 사용합니다.	FALSE
이퇴백의 뜻은 무엇일까요?	이십대에 스스로 퇴직한 백수	이제 퇴근하면 백점이다	이렇게 하면 퇴직하고 백수될 수도 있어	이퇴백은 이십대에 스스로 퇴직한 백수의 줄임말로 "이퇴백이라 힘들어"처럼 사용합니다.	FALSE
이학망의 뜻은 무엇일까요?	이번 학기는 망함	이렇게 하면 너 학점 망한다	이제는 학자금 대출도 못 받아서 망연자실하다	이학망은 이번 학기는 망함의 줄임말로 "나 완전 이학망~"처럼 사용합니다.	FALSE
자만추의 뜻은 무엇일까요?	자연스러운 만남 추구	자존감 만땅 추구	자중하고 만남부터 추구하자	자만추는 자연스러운 만남 추구의 줄임말로 "나는 자만추야"처럼 사용합니다.	FALSE
커여워의 뜻은 무엇일까요?	귀여워	클수록 귀여워	가엾다	커여워는 귀여워를 의미하는 신조어로 "이거 진짜 커여워"처럼 사용합니다.	FALSE
케바케의 뜻은 무엇일까요?	케이스 바이 케이스	케이크 바나나 케이크	케미가 바람직한 케이스	케바케는 케이스바이케이스의 줄임말로 "이건 케바케야"처럼 사용합니다.	FALSE
편세권의 뜻은 무엇일까요?	집 근처에 편의점이 위치해 있는 지역권	편의만 중시하는 세상	편하게 돌아가는 세상 때문에 권태롭다	편세권은 집 근처에 편의점이 위치해 있는 지역권의 줄임말로 "편세권 자취방 구해요"처럼 사용합니다.	FALSE
현시창의 뜻은 무엇일까요?	현실은 시궁창	현실적으로 시련을 극복하는 창의적인 방법	막 시작한 창업	현시창은 현실은 시궁창의 줄임말로 "알고보니 현시창"처럼 사용합니다.	FALSE
혼코노의 뜻은 무엇일까요?	혼자 코인 노래방을 가다	혼자 보는 코미디는 재미없어	혼자 코스 요리 먹는 노동자	혼코노는 혼자 코인 노래방을 가다의 줄임말로 "너 혼코노 해봤어?" 처럼 사용합니다.	FALSE
솔까말의 뜻은 무엇일까요?	솔직히 까놓고 말해서	솔직하고 까다로운 말투	솔방울 옆에 까만 말	솔까말은 솔직히 까놓고 말해서의 줄임말로 "솔까말해서…"처럼 사용합니다.	FALSE
지못미의 뜻은 무엇일까요?	지켜주지 못해 미안해	지난 번에 못 가서 미안해	시간이 지날수록 못 미치는 상태	지못미는 지켜주지 못해 미안해의 줄임말로 "이 사진 완전 지못미"처럼 사용합니다.	FALSE
열폭의 뜻은 무엇일까요?	열등감 폭발	너무 더워서 몸에 열이 폭발할 거 같은 상황	열정을 가지고 폭주하다	열폭은 열등감 폭발의 줄임말로 "너 그거 열폭이야"처럼 사용합니다.	FALSE
쉽살재빙의 뜻은 무엇일까요?	쉽게만 살아가면 재미없어 빙고	쉽고 살살 녹게 만든 빙수	쉽게 살려면 재지 말고 빙빙 돌기	쉽살재빙은 쉽게만 살아가면 재미없어 빙고의 줄임말로 "인생은 쉽살재빙이야"처럼 사용합니다.	FALSE
완내스의 뜻은 무엇일까요?	완전 내 스타일	완벽함은 내일의 스트레스를 줄인다	완전한 내 스타일은 없다	완스는 완전 내 스타일의 줄임말로 "이거 완스다!"처럼 사용합니다.	FALSE
비담의 뜻은 무엇일까요?	비쥬얼 담당	비탈진 담벼락	비슷한 담력	비담은 비주얼 담당의 줄임말로 "여기서 비담은 나야"처럼 사용합니다.	FALSE
알부자의 뜻은 무엇일까요?	알바로 부족한 학자금을 채움	계란을 많이 사두는 사람	종아리에 알이 많은 사람	알부자는 알바로 부족한 학자금을 채움의 줄임말로 "나 알부자라 주말엔 바빠"처럼 사용합니다.	FALSE
고스팅의 뜻은 무엇일까요?	귀신처럼 잠수탐	숨어 있다가 귀신처럼 깜짝 놀래키기	고수들의 만남	고스팅은 귀신처럼 잠수탐을 의미하는 신조어로 "고스팅이 문제야"처럼 사용합니다.	FALSE
빠태의 뜻은 무엇일까요?	빠른 태세 전환	빠른 태풍	빠른 시간 안에 태어난 아이	빠태는 빠른 태세 전환의 줄임말로 "빠태 좋았다ㅋㅋ"처럼 사용합니다.	FALSE
쌉가능의 뜻은 무엇일까요?	완전 가능하다	재빠르게 행동해야만 가능하다	가격이 저렴해 모든지 다 살 수 있을 거 같은 상태	쌉가능은 완전 가능하다를 의미하는 신조어로 "걱정마 쌉가능이야"처럼 사용합니다.	FALSE
싫테의 뜻은 무엇일까요?	싫어요 테러	싫어도 티내지 말기	테이프 싫어	싫테는 싫어요 테러의 줄임말로 "싫테 하지마세요"처럼 사용합니다.	FALSE
잼민이의 뜻은 무엇일까요?	미성숙하고 무례한 행동을 하는 초등학생 	귀엽고 애교 많은 아이들을	빵에 잼 발라먹는 것을 좋아하는 아이	잼민이는 미성숙하고 무례한 행동을 하는 초등학생을 의미하는 신조어로 "너 완전 잼민이 같아"처럼 사용합니다.	FALSE
쉼포족의 뜻은 무엇일까요?	바쁜 일상 때문에 쉼을 포기한 사람	삶에 '쉼표' 즉, 휴식을 부여하는 기간	쉬다가 모든 것을 포기해버린 사람	쉼포족은 바쁜 일상 때문에 쉼을 포기한 사람의 줄임말로 "휴가보다 일을 선택하는 쉼포족"처럼 사용합니다.	FALSE
확찐자의 뜻은 무엇일까요?	코로나 시기에 살이 확 쪄버린 자	확실히 넌 살 찐 모습이 더 자연스러워	확 찐 게 자랑이냐?	확찐자는 코로나 시기에 살이 확 쪄버린 자의 줄임말로 "확찐자들을 위한 다이어트 성공 방법"처럼 사용합니다.	FALSE
돈미새의 뜻은 무엇일까요?	돈에 미친 새끼	돈 빌려줄 땐 미리 기록을 새겨야 한다	돈 냄새 맡는 새	돈미새는 돈에 미친 새끼의 줄임말로 "돈미새를 조심하자"처럼 사용합니다.	FALSE
킹리적 갓심의 뜻은 무엇일까요?	합리적 의심	매우 자신감 있는 태도	쓸데 없는 걱정	킹리적 갓심은 합리적 의심을 의미하는 신조어로 "이정도면 킹리적 갓심이야~"처럼 사용합니다.	FALSE
자강두천의 뜻은 무엇일까요?	자존심 강한 두 천재의 대결	자동차 강아지 두더지 천재	자지말고 강가에 가서 얼굴 씻고 와	자강두천은 자존심 강한 두 천재의 대결의 줄임말로 "오늘 경기 완전 자강두천이다"처럼 사용합니다.	FALSE
고인물의 뜻은 무엇일까요?	정체된 특정 집단의 사람	고양이와 인접할 땐 물러나라	고향 인정이 물론이거니와 최고이다	고인물은 정체된 특정 집단의 사람을 의미하는 신조어로 "나는 이 분야의 고인물이다"처럼 사용합니다.	FALSE
